Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
AUTS2,1.721108436836393e-262,MAPK10,0.0,FAM229A,0.0,GJB6,0.0,MALAT1,7.430608806001186e-141,TTC28,0.0,C1QTNF3,0.0,ERBB4,1.032e-320,NALF1,7.592004386054712e-305
STAG1,1.0845327745661913e-183,SPAG16,0.0,CCDC168,0.0,IQCM,0.0,IGFBP7,2.3591263438646696e-82,LOC105373554,0.0,CRB1,0.0,DIAPH2,4.6587700837132134e-302,NRG3,1.0805300282418918e-295
RERE,7.981070230345475e-170,CNBD1,0.0,LOC730098,0.0,CNBD1,0.0,TSHZ2,3.4153035016719373e-72,ATRNL1,0.0,CCDC38,0.0,NEAT1,1.0720493931505554e-273,PARD3,5.748693684845134e-281
UBE2E2,2.006996672980637e-164,KCNT2,0.0,GOLGA6L7,1.933580519818862e-308,CCSER1,0.0,EBF1,1.4391907643583512e-69,HORMAD1,0.0,ANKRD30B,0.0,CARMIL1,1.870661207260594e-269,NLGN1,1.334202253579173e-251
HELLS,7.624706313970122e-153,GOLGA6L2,0.0,C20orf144,2.9137068869615963e-289,TSBP1,0.0,RBMS3,1.4820569009512585e-69,ANKRD30A,0.0,ZNF385D,4.107925132343702e-306,ZBTB20,1.5871587051864494e-272,MTUS2,5.192194159917734e-248
SMC1B,3.1195015517898777e-152,LOC105372004,0.0,FAM186A,2.4913373188023307e-286,SLC44A5,0.0,MIR99AHG,6.359362153813066e-67,HORMAD2,0.0,STRBP,2.5862073016676906e-308,MALAT1,2.039543912102227e-293,CNTN4,3.516220534561468e-234
SPIDR,3.1457551653742594e-151,TTC29,0.0,LOC101928012,2.5639101574789425e-281,GOLGA6L2,0.0,ZBTB20,2.4170714698966354e-64,LOC105376107,0.0,ANKRD62,7.186609441220345e-305,CTNNA2,6.426860906784172e-260,CALN1,3.582069900042446e-228
JMJD1C,3.226829094603208e-150,WDR41,0.0,PPP2R2B,4.575502992509389e-286,COL25A1,4.02807965844e-313,NEAT1,1.287643463309182e-63,LOC100506207,0.0,MIR548A1HG,5.588944606017157e-295,NCOA2,6.422972817000618e-250,MEF2C-AS1,9.369290752474874e-219
GPHN,1.0377446492364322e-143,FRMD5,1.38077e-319,ERICH2,7.004131236567093e-266,STXBP5-AS1,2.8859978654e-314,BNC2,1.5396598121284664e-60,MLLT10,0.0,POLK,5.133507018929625e-295,BBX,4.280941550185598e-247,N6AMT1,1.4711108322098028e-214
B3GALT1,4.0601339162501575e-142,PACRG,1.2123855308623959e-301,PFN3,3.055974697260448e-260,CCDC91,2.5016797916180802e-307,LAMA2,7.053595903609146e-58,SPDYA,0.0,ANKRD30A,2.5263652565281876e-296,GPC5,1.6460998996103873e-235,BMPR1B,2.3024910392233785e-213
LOC100507336,9.562600542923922e-141,LOC101929492,1.0227876377346672e-303,ZFAND3,2.5032491235877115e-254,LOC105369838,9.888524510480061e-297,FTX,6.1022095997150185e-56,SETX,0.0,LARP1B,2.9368371930589845e-278,KIAA1217,8.12785283200887e-233,AGMO,4.975562239412079e-209
EPB41,2.721558675327876e-141,CADM1,9.492883021650648e-299,FER,1.1918012117480653e-249,LRBA,6.609111117036418e-294,LINC-PINT,1.6164609701828285e-49,STPG2,0.0,MARCHF3,8.195023004626251e-274,SYNE1,1.0103437434265985e-231,AFF3,1.1529138187648842e-210
LINC02645,1.2193846433481104e-139,LRRIQ1,5.434237890068521e-298,LINC01492,4.347282738331226e-245,NELL1,9.73148716469322e-294,RORA,2.5477374925016286e-49,PHF7,0.0,ANKRD20A1,1.16680451846059e-275,MIR99AHG,3.7110522520975984e-235,KLF12,6.309804421248946e-205
IL1RAPL1,3.3113118222772126e-126,ULK4,1.716821790526514e-295,NUPR2,1.622159200665618e-242,FRMD5,1.0269809829539538e-295,MAGI2,6.264295122701716e-49,CCDC88A,0.0,DPY19L2,9.917312514191612e-279,CACNB4,1.1883548822144422e-226,ROBO2,5.818342690761178e-205
TMC1,2.3303101293923704e-125,MROH9,2.535798746230742e-274,NAALADL2,1.981438483868269e-233,LRMDA,1.855459628810615e-288,ABLIM1,2.267075176837538e-47,STRBP,0.0,ANKRD18B,9.986870936044899e-272,TBC1D8,4.293380366322687e-227,FOXP1,8.159484311346225e-204
CAMTA1,4.5968406120295814e-125,LINC01500,3.847603791509503e-273,TMEM191B,8.368616549045213e-230,PLCZ1,6.792911368038211e-287,DDX17,2.3876839184182e-47,RANBP17,0.0,ANKRD36C,1.2834733120980576e-274,TNIK,3.436323521426252e-226,LOC105377171,8.337342192279785e-202
TAF15,8.488897143269226e-123,TMEM232,1.015367872262561e-263,PRM3,2.1368279913516636e-224,LOC105372733,1.2768741287283149e-286,CALD1,6.579289649142965e-46,SCMH1,0.0,CCDC144A,1.2951644961748763e-271,DLGAP1,1.0238649334631232e-227,DPP6,4.3300964114878044e-200
ERC1,6.373736691825963e-116,LOC101928236,1.1349799525319585e-260,LOC102723490,2.222172713509786e-224,SNTG1,5.373607645398848e-273,KAZN,8.399284404139645e-46,RFX4,0.0,SUMF1,2.0332144162135542e-258,CCSER1,1.9203535987557115e-227,SEMA6D,2.3475848845292825e-198
RAD51B,2.046540642358086e-114,NOL4,3.051354732185692e-243,SYT16,9.409840783267687e-220,KIAA1328,2.2460174245640047e-274,PRPS2,7.353425856755861e-45,IHO1,0.0,SLCO6A1,1.9527641229139666e-259,PLXDC2,1.5242237851481266e-223,SPIDR,1.1568395206720155e-197
ASAP1,2.819811170666261e-111,CCDC192,8.191786148820415e-240,MGMT,9.301399451704092e-217,PSD3,1.1020627585005298e-275,PDZRN4,5.643644439686804e-44,ANKRD62,0.0,GULP1,2.0927970451990557e-255,ARL15,2.5292043852925078e-223,CNTNAP2,1.6601526993150067e-194
LOC101927026,3.0066595299994584e-108,CEP112,2.6877340664541004e-239,FRRS1L,2.8023735501040077e-213,PDE1C,3.076327236733094e-266,PTCH2,4.3290658469276605e-41,SYCP2,8.740741895227826e-307,LINC01818,1.1708522623577322e-252,MACF1,2.4977197468330667e-222,SORCS1,1.817500577317477e-192
PDE8A,1.3628205125971007e-107,LOC105372733,5.888995063857109e-238,STXBP5-AS1,6.761342799995949e-218,PRKCE,8.093606134074678e-263,DCN,2.5014770083566337e-40,CYP19A1,8.031088733115183e-300,ADAM2,4.9296717930870685e-253,SLC7A14-AS1,1.6744254521039806e-216,HS6ST3,1.508086995108763e-194
ABL1,1.1453486614905276e-107,LRRIQ3,6.3124844012541066e-229,GRM5,6.210077584957426e-209,LOC107984035,1.0041532046362112e-266,LHFPL6,2.497387316580806e-40,KDM5B,4.868056522111922e-302,ANKRD20A4-ANKRD20A20P,2.625125483985915e-254,LOC105373347,4.4019139516310146e-216,SDK1,1.831794939097031e-199
