Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
KCNQ1,3.058109503838511e-89,LRRIQ1,7.842561732022993e-214,PRM1,6.654350389447124e-206,TMEM191B,1.365605427083375e-121,RRP8,1.2723004836934217e-119,ANKRD30A,1.8091760135504337e-198,LOC101929200,2.0169912018883256e-214,MALAT1,3.919890771663555e-102
KCNQ1OT1,3.656966766528078e-61,RGL4,5.208425205539443e-200,NFIC,1.484757492851009e-177,CCSER1,9.443453961352425e-120,PFDN6,1.170913512380826e-112,ZNF385D,2.7261177644344535e-165,CLU,2.120134209174257e-172,TSHZ2,3.114312023532412e-91
amplicon-chrY-TSPY1/10/2/3/4/8,6.593410272213488e-55,GPC6,1.4497568007455816e-184,PRM2,2.435855872097729e-164,CD36,6.7451252127354635e-105,TTC28,4.974180371544729e-114,ANKRD30B,4.6375808542455874e-148,COX3,5.701252507096639e-149,DCN,9.410495246309116e-80
amplicon-chrX-VCX/2/3A/3B,2.280109528833218e-37,BCR,1.1146569687585209e-169,DRICH1,3.1792308402139457e-124,PCDH15,1.6191956283905057e-99,TEX41,3.424132019971316e-111,LOC101927284,1.208983007811933e-127,CTNNA2,1.6150391007708885e-136,BNC2,1.759694926509e-78
TTC3,2.2513761429421344e-37,GLIPR1L1,3.086540586240727e-157,TNP1,2.653222708015354e-106,CCDC27,2.9241465212734573e-94,ANKRD30A,1.1969412029904357e-113,PTPN22,2.1080753416542886e-118,GPC5,1.413885842821799e-135,RORA,3.08597760328056e-68
LOC101928697,2.0857985464530412e-36,LOC105379110,5.73766587647439e-135,HDAC9,7.00718236268188e-99,COL25A1,8.701282975198304e-95,LINC02367,4.53511874948571e-105,LINC00993,2.4847050047623213e-112,ERBB4,2.318947164110857e-133,LAMA2,4.830994967350526e-66
DPEP3,2.568952429992246e-35,PACRG,1.0648956922002413e-136,HDAC11,2.0452713166607245e-97,SMIM23,3.6891858233562236e-89,PPM1E,7.524024044141206e-104,CATSPER2,1.8976129890010186e-110,ND1,2.5783774201825113e-130,ZBTB20,3.6746160901316344e-65
PTMA,1.8767994729690564e-32,CNBD1,8.96289678869085e-123,RAI14,1.1443123458297547e-94,CCNY,1.6519758051115143e-86,LOC105373554,1.4087436198638108e-96,DDX39A,3.015650230597731e-107,MTRNR2L3,1.2509143059850795e-126,EBF1,2.750773713990846e-60
BRCA2,3.782300090748957e-32,TTC29,4.1447210744292394e-117,HMGB4,4.5034266068078285e-94,HDAC11,3.048382380032095e-81,HLA-B,9.592236766145943e-97,ZNF385D-AS2,8.521925751547094e-104,TBX22,3.382122463924611e-122,RBMS3,2.750773713990846e-60
ZCWPW1,6.118498929042806e-32,NKX6-1,2.296925790748475e-112,LOC100502572,8.39679583756175e-89,PLCZ1,4.587210627875298e-81,ANKRD62,1.3650715176848464e-93,PCDH9,4.9964723419853776e-104,GRIP1,2.828333647148144e-118,LSAMP,5.424149539293959e-53
SMC1B,5.359372831424615e-32,LOC105378685,1.4815032323669592e-107,CCDC168,1.344337837079457e-84,CCDC141,5.447961042480749e-78,ANKRD30B,1.1000218703537622e-91,IZUMO4,1.195124567163916e-102,KIAA1217,4.5160487808562023e-116,IGFBP7,6.559124664858962e-52
